"1","Financial Year","31-12-2018       Other","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","64,736.49","78,582.00","23,157.00","18,543.00","9,059.00","9,380.00","7,204.00","14,521.00","22,137.00","14,971.00"
"3","Pretax Income","3,286.32","1,911.00","(628.00)","(44,132.00)","(31,691.00)","(34,304.00)","(25,477.00)","(2,541.00)","(30,435.00)","(23,087.00)"
"4","Net Income","803.12","1,211.00","(561.00)","(44,654.00)","(32,497.00)","(34,576.00)","(26,244.00)","(2,541.00)","(30,435.00)","(23,087.00)"
"5","Cash & Short-Term Investments","19,013.99","556.00","123.00","67.00","687.00","108.00","5,102.00","6,167.00","1,805.00","2,300.00"
"6","Cash Only","19,013.99","556.00","123.00","67.00","687.00","108.00","5,102.00","2,167.00","1,805.00","2,300.00"
"7","Total Accounts Receivables","115,869.25","113,263.00","85,312.00","60,595.00","35,438.00","21,453.00","5,168.00","6,487.00","13,227.00","8,901.00"
"8","Inventories","10,288.31","19,883.00","11,943.00","11,687.00","8,139.00","6,292.00","4,914.00","7,227.00","7,646.00","6,571.00"
"9","Net Property, Plant & Equipment","176,852.44","177,038.00","166,940.00","165,970.00","164,391.00","148,262.00","129,300.00","120,943.00","86,988.00","66,848.00"
"10","Accrued Payable","95,843.47","86,376.00","31,385.00","47,126.00","50,847.00","55,662.00","59,071.00","21,599.00","20,241.00","-"
"11","Short Term Debt","80,874.71","77,551.00","75,478.00","76,155.00","75,981.00","73,941.00","75,476.00","74,594.00","74,816.00","75,868.00"
"12","Long Term Debt","3,472.01","3,174.00","2,646.00","2,272.00","1,542.00","662.00","1,886.00","1,383.00","1,230.00","643.00"
"13","Net Operating Cash Flow","9,990.42","(15,835.00)","869.00","(724.00)","(4,191.00)","(18,340.00)","(11,213.00)","1,900.00","(4,368.00)","80.00"
"14","Capital Expenditures","1,256.65","(485.00)","(328.00)","(213.00)","-","(907.00)","(162.00)","(136.00)","(284.00)","(49.00)"
"15","Total Shares Outstanding (million)","104,000.00","104,000.00","104,000.00","114,400.00","114,400.00","114,400.00","114,400.00","114,400.00","114,400.00","114,400.00"
