"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","",""
"2","Sales/Revenue","4,714,566.00","5,257,390.00","5,501,364.00","5,746,572.00","6,054,756.00","6,040,664.00","",""
"3","Pretax Income","216,599.00","347,306.00","292,267.00","348,575.00","288,750.00","157,126.00","",""
"4","Net Income","109,805.00","182,475.00","192,573.00","186,185.00","150,579.00","113,145.00","",""
"5","Cash & Short-Term Investments","466,048.00","412,978.00","502,411.00","458,858.00","764,829.00","757,769.00","",""
"6","Cash Only","302,805.00","352,565.00","406,996.00","393,552.00","457,368.00","452,121.00","",""
"7","Total Accounts Receivables","587,520.00","626,861.00","673,565.00","754,198.00","539,157.00","525,490.00","",""
"8","Inventories","758,205.00","858,070.00","830,103.00","925,197.00","1,057,992.00","1,086,503.00","",""
"9","Net Property, Plant & Equipment","1,814,564.00","1,952,936.00","2,045,801.00","2,216,811.00","2,703,895.00","3,030,344.00","",""
"10","Short Term Debt","1,191,831.00","1,188,779.00","1,419,081.00","1,326,606.00","1,522,692.00","1,783,729.00","",""
"11","Long Term Debt","519,256.00","443,644.00","774,435.00","1,044,333.00","977,652.00","1,011,754.00","",""
"12","Net Operating Cash Flow","300,801.00","431,971.00","524,390.00","349,245.00","670,594.00","415,828.00","",""
"13","Capital Expenditures","(306,755.00)","(252,556.00)","(336,140.00)","(397,118.00)","(404,677.00)","(513,881.00)","",""
"14","Total Shares Outstanding (million)","3,400,000.00","3,400,000.00","3,400,000.00","3,650,000.00","3,650,000.00","3,650,000.00","3,650,000.00","293,851.48"
