"1","Financial Year","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","193,887.00","179,165.00","183,623.00","213,548.00","171,394.00","155,762.00","66,571.35","158,338.00","173,156.00","164,974.00"
"3","Pretax Income","11,058.00","661.00","13.00","(2,530.00)","(1,641.00)","(4,546.00)","(7,143.87)","1,170.00","3,482.00","6,127.00"
"4","Net Income","10,040.00","(857.00)","(23.00)","(2,499.00)","(1,525.00)","(3,691.00)","(7,237.95)","863.00","2,744.00","5,202.00"
"5","Cash & Short-Term Investments","16,897.96","21,823.00","20,981.00","22,559.00","34,357.00","23,361.00","16,198.00","22,599.00","22,553.00","25,966.00"
"6","Total Accounts Receivables","208,591.47","223,568.00","221,556.00","231,945.00","214,172.00","207,392.00","153,323.00","177,004.00","177,849.00","178,278.00"
"7","Inventories","117,435.37","129,346.00","125,619.00","120,898.00","116,584.00","112,747.00","101,339.00","85,405.00","92,007.00","86,403.00"
"8","Net Property, Plant & Equipment","223,642.78","222,563.00","220,133.00","220,285.00","221,113.00","218,854.00","221,813.00","219,037.00","220,537.00","219,112.00"
"9","Accrued Payable","59,177.32","54,259.00","47,350.00","46,937.00","47,375.00","42,275.00","28,936.00","44,770.00","38,204.00","40,706.00"
"10","Short Term Debt","208,508.82","234,612.00","239,476.00","252,339.00","244,161.00","233,073.00","182,445.00","188,139.00","210,061.00","178,849.00"
"11","Long Term Debt","19,429.71","23,909.00","21,347.00","19,613.00","25,504.00","22,557.00","23,768.00","22,286.00","22,879.00","23,608.00"
"12","Net Operating Cash Flow","(27,136.58)","(22,032.00)","1,064.00","(28,960.00)","22,580.00","3,298.00","47,866.00","2,266.00","(18,921.00)","35,953.00"
"13","Capital Expenditures","(870.61)","(386.00)","(242.00)","(2,380.00)","(52.00)","(80.00)","(2,186.00)","(375.00)","(1,057.00)","(173.00)"
"14","Total Shares Outstanding (million)","168,669.85","168,669.85","168,669.85","168,669.85","168,669.85","168,669.85","168,669.85","168,669.85","168,669.85","168,669.85"
