"1","Financial Year","28-02-2019       3","31-05-2019       4","31-08-2019       1","30-11-2019       2","29-02-2020       3","31-05-2020       4","31-08-2020       Other","30-11-2020       Other","28-02-2021       1","31-05-2021       2"
"2","Sales/Revenue","164,961.00","103,602.06","104,162.00","105,745.00","91,335.00","26,947.00","35,737.00","46,205.00","63,832.00","96,804.00"
"3","Pretax Income","23,472.00","15,186.43","8,700.00","11,681.00","4,872.00","(8,916.00)","(7,223.00)","(12,703.00)","2,992.00","5,075.00"
"4","Net Income","17,763.00","11,402.42","6,854.00","7,924.00","4,218.00","(7,574.00)","(5,489.00)","(9,957.00)","1,027.00","2,036.00"
"5","Cash & Short-Term Investments","28,971.00","29,976.74","25,848.00","32,827.00","39,474.00","22,192.00","26,579.00","37,280.00","34,303.00","53,334.00"
"6","Cash Only","-","-","-","-","-","-","-","-","-","29,175.00"
"7","Total Accounts Receivables","528,301.00","502,677.33","539,585.00","586,837.00","570,643.00","568,854.00","603,669.00","594,350.00","577,024.00","536,421.00"
"8","Inventories","-","-","-","-","-","-","-","-","24,675.00","28,035.00"
"9","Net Property, Plant & Equipment","19,421.00","19,398.17","19,236.00","20,892.00","21,054.00","19,713.00","19,707.00","20,483.00","32,350.00","32,090.00"
"10","Short Term Debt","13,146.00","20,282.08","25,669.00","39,636.00","41,044.00","35,725.00","27,521.00","14,330.00","47,706.00","41,148.00"
"11","Long Term Debt","11,277.00","33,253.09","31,710.00","31,467.00","30,685.00","35,712.00","35,740.00","27,252.00","17,857.00","16,988.00"
"12","Net Operating Cash Flow","(24,267.00)","(6,914.12)","(7,748.00)","(21,904.00)","(16,753.00)","(11,451.00)","(49,004.00)","(88,634.00)","(9,051.00)","4,576.00"
"13","Capital Expenditures","(963.00)","8,360.40","(240.00)","(1,066.00)","(584.00)","(223.00)","(687.00)","(1,741.00)","(214.00)","-"
"14","Total Shares Outstanding (million)","559,394.99","562,286.64","562,286.64","586,086.64","618,515.30","618,515.30","758,515.30","788,516.98","786,796.98","872,014.28"
