"1","Financial Year","31-12-2018       4","31-03-2019       Other","30-06-2019       Other","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","6,885.00","783.00","953.18","691.00","331.00","649.00","587.99","1,488.00","1,322.00","888.00"
"3","Pretax Income","(18,713.00)","(102,138.00)","(36,881.37)","(5,996.00)","240.00","169.00","16,506.06","125.00","183.00","274.00"
"4","Net Income","(18,065.00)","(102,154.00)","(36,905.11)","(6,020.00)","161.00","161.00","17,388.66","111.00","162.00","293.00"
"5","Cash & Short-Term Investments","5,467.00","4,679.00","203.96","199.00","61.00","61.00","130.00","234.00","155.00","3,815.00"
"6","Cash Only","5,467.00","4,679.00","203.96","199.00","61.00","61.00","130.00","234.00","155.00","3,815.00"
"7","Total Accounts Receivables","96,315.00","55,107.00","39,036.21","39,145.00","38,509.00","38,613.00","38,577.00","37,920.00","37,794.00","63,543.00"
"8","Inventories","3,562.00","2,350.00","1,219.64","1,099.00","1,231.00","1,231.00","421.00","872.00","1,238.00","354.00"
"9","Net Property, Plant & Equipment","873,520.00","849,420.00","849,300.25","849,144.00","848,961.00","849,785.00","849,602.00","847,724.00","847,442.00","807,339.00"
"10","Short Term Debt","21,802.00","18,056.00","23,758.43","24,707.00","23,945.00","24,114.00","24,160.00","24,160.00","24,160.00","13,929.00"
"11","Long Term Debt","7,504.00","7,335.00","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","1,778.00","(28,507.00)","24,683.64","(954.00)","(635.00)","(502.00)","(118.00)","239.00","(100.00)","9,276.00"
"13","Capital Expenditures","8,553.00","-","(11,651.47)","-","-","-","-","-","(24.00)","24.00"
"14","Total Shares Outstanding (million)","420,817.85","474,317.85","474,317.85","474,623.85","481,417.85","481,417.85","481,417.85","481,417.85","481,417.85","481,417.85"
