"1","Financial Year","30-06-2019       4","30-09-2019       Other","31-12-2019       Other","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       Other","31-03-2021       Other","30-06-2021       Other","30-09-2021       1"
"2","Sales/Revenue","2,473.00","2,060.00","799.55","324.00","64.00","752.00","116.00","6,454.00","4,832.00","2,369.00"
"3","Pretax Income","179.00","(701.00)","(8,599.89)","(3,137.00)","(1,101.00)","(1,380.00)","(970.00)","(14,741.00)","(1,338.00)","(321.00)"
"4","Net Income","179.00","(701.00)","(8,638.82)","(3,137.00)","(1,101.00)","(1,380.00)","(918.00)","(14,741.00)","(1,338.00)","(321.00)"
"5","Cash & Short-Term Investments","15,281.00","4,623.00","2,178.63","845.00","435.00","336.00","473.00","973.00","10,941.00","62,155.00"
"6","Cash Only","14,867.00","4,209.00","1,853.02","520.00","110.00","11.00","152.00","647.00","10,615.00","61,853.00"
"7","Total Accounts Receivables","31,145.00","12,805.00","48,723.00","48,009.00","47,001.00","45,944.00","43,550.00","57,866.00","46,870.00","53,247.00"
"8","Inventories","159,933.00","157,792.00","118,240.08","118,289.00","118,278.00","118,299.00","118,469.00","118,514.00","18,769.00","18,799.00"
"9","Net Property, Plant & Equipment","108,883.00","140,881.00","4,374.20","3,879.00","3,678.00","3,371.00","3,309.00","3,121.00","3,172.00","2,964.00"
"10","Short Term Debt","3,312.00","3,276.00","9,052.63","10,223.00","10,259.00","10,515.00","10,654.00","10,612.00","1,452.00","1,449.00"
"11","Long Term Debt","8,536.00","8,195.00","1,002.90","909.00","605.00","488.00","476.00","425.00","9,957.00","9,819.00"
"12","Net Operating Cash Flow","(7,859.00)","(18,011.00)","(26,072.27)","(10,996.00)","(679.00)","(285.00)","(11,774.00)","(11,184.00)","(5,010.00)","864.00"
"13","Capital Expenditures","-","(160.00)","(60.00)","-","-","-","(127.00)","(127.00)","(129.00)","-"
"14","Total Shares Outstanding (million)","1,269,260.58","1,269,260.58","1,398,460.58","1,398,460.58","1,468,640.58","1,468,640.58","1,468,640.58","1,468,640.58","1,606,318.11","2,570,121.02"
