"1","Financial Year","30-06-2019       1","30-09-2019       2","31-12-2019       2","31-03-2020       3","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1"
"2","Sales/Revenue","22,312.00","20,423.00","17,380.00","9,476.00","26,010.27","12,946.00","19,898.00","26,639.00","18,383.00","19,956.00"
"3","Pretax Income","137.00","(1,333.00)","2,104.00","(1,409.00)","8,747.84","(226.00)","1,247.00","2,791.00","1,218.00","3,648.00"
"4","Net Income","76.00","(1,230.00)","2,131.00","(1,438.00)","7,158.12","(213.00)","681.00","1,301.00","(1,901.00)","1,710.00"
"5","Cash & Short-Term Investments","52,181.00","47,388.00","43,193.00","53,323.00","48,499.00","50,084.00","50,247.00","52,833.00","55,002.00","56,118.00"
"6","Cash Only","4,991.00","6,177.00","12,191.00","22,586.00","21,840.00","24,784.00","24,687.00","27,667.00","19,601.00","20,530.00"
"7","Total Accounts Receivables","97,727.00","110,576.00","87,280.00","67,532.00","37,191.00","48,294.00","45,236.00","32,506.00","21,556.00","22,475.00"
"8","Inventories","96,125.00","101,683.00","93,948.00","103,304.00","82,202.00","140,355.00","146,037.00","155,357.00","124,167.00","168,464.00"
"9","Net Property, Plant & Equipment","71,882.00","62,847.00","79,562.00","78,794.00","63,840.00","63,270.00","62,543.00","61,634.00","66,498.00","65,635.00"
"10","Short Term Debt","2,808.00","3,756.00","3,023.01","2,270.01","2,863.00","2,389.00","2,389.00","1,396.00","692.00","1,233.00"
"11","Long Term Debt","4,003.00","3,585.00","3,222.00","2,578.00","1,454.00","1,218.00","572.00","146.00","673.00","1,017.00"
"12","Net Operating Cash Flow","(43,005.00)","(55,604.00)","(1,526.00)","11,820.00","(548.00)","3,232.00","164.00","3,933.00","8,106.00","30.00"
"13","Capital Expenditures","(92.00)","(2,436.00)","(2,980.00)","(26.00)","(4,247.00)","(129.00)","(81.00)","(50.00)","(5,780.00)","(104.00)"
"14","Total Shares Outstanding (million)","212,202.60","212,202.60","212,202.60","212,202.60","212,202.60","212,202.60","212,202.60","212,372.25","212,535.11","213,861.96"
