"1","Financial Year","30-09-2018       2","31-12-2018       3","31-03-2019       Other","30-06-2019       Other","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2"
"2","Sales/Revenue","142,887.00","134,181.00","132,072.00","89,581.00","107,887.00","124,135.00","-","-","-","-"
"3","Pretax Income","(22,509.00)","(16,381.00)","(59,672.00)","(121,845.00)","1,983.00","(927.00)","(126,693.00)","(133,574.00)","(5,428.00)","(5,528.00)"
"4","Net Income","(27,914.00)","(22,025.00)","(43,947.00)","(276,670.00)","(1,664.00)","(4,309.00)","(126,693.00)","(133,574.00)","(5,428.00)","(5,528.00)"
"5","Cash & Short-Term Investments","95,919.00","66,682.00","56,231.00","66,334.00","73,595.00","64,286.00","2,195.00","85.00","44.00","112.00"
"6","Cash Only","95,919.00","66,682.00","56,231.00","66,334.00","73,595.00","64,286.00","2,195.00","85.00","44.00","112.00"
"7","Total Accounts Receivables","1,013,827.00","963,989.00","947,533.00","250,235.00","248,210.00","297,637.00","1,004.00","890.00","-","-"
"8","Inventories","120,962.00","108,130.00","96,581.00","82,815.00","84,961.00","85,992.00","-","-","-","-"
"9","Net Property, Plant & Equipment","440,996.00","421,152.00","356,345.00","297,237.00","291,718.00","282,473.00","385.00","357.00","328.00","301.00"
"10","Accrued Payable","597,877.00","573,912.00","478,116.00","307,605.00","304,411.00","323,273.00","181,920.00","260,073.00","241,160.00","246,803.00"
"11","Short Term Debt","544,300.00","566,090.00","624,103.00","136,093.00","167,621.00","163,233.00","211.00","217.00","132.00","133.00"
"12","Long Term Debt","153,132.00","119,838.00","119,980.00","50,196.00","50,052.00","48,879.00","215.00","169.00","255.00","255.00"
"13","Net Operating Cash Flow","9,842.00","24,577.00","(19,308.00)","88,094.00","(20,225.00)","(17.00)","(34,282.00)","(2,071.00)","(33.00)","79.00"
"14","Capital Expenditures","(2,061.00)","(2,088.00)","(8,983.00)","(5,628.00)","(2,917.00)","1,769.00","-","-","-","-"
"15","Total Shares Outstanding (million)","1,093,907.46","1,093,907.46","1,093,907.46","1,093,907.00","1,093,907.00","1,093,907.00","1,093,907.00","1,093,907.00","1,093,907.00","1,093,907.00"
