"1","Financial Year","30-06-2019       1","30-09-2019       2","31-12-2019       3","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       Other"
"2","Sales/Revenue","20,776.00","20,789.00","22,807.00","19,256.00","15,234.00","19,521.00","20,452.00","20,928.00","20,695.00","18,288.00"
"3","Pretax Income","2,403.00","361.00","4,154.00","763.00","(1,212.00)","1,570.00","1,366.00","574.00","(2,144.00)","(13,061.00)"
"4","Net Income","2,090.00","276.00","3,644.00","468.00","(922.00)","1,181.00","984.00","319.00","(2,239.00)","(13,145.00)"
"5","Cash & Short-Term Investments","11,233.00","10,806.00","12,112.00","11,459.00","10,140.00","11,908.00","13,782.00","17,791.00","53,453.00","28,634.00"
"6","Cash Only","4,712.00","4,727.00","3,979.00","5,304.00","2,953.00","3,688.00","5,515.00","9,469.00","33,632.00","9,210.00"
"7","Total Accounts Receivables","26,641.00","25,138.00","25,697.00","23,420.00","17,155.00","17,929.00","20,766.00","22,640.00","77,340.00","100,416.00"
"8","Inventories","14,323.00","15,018.00","17,180.00","15,451.00","15,343.00","14,431.00","15,676.00","16,548.00","17,738.00","15,490.00"
"9","Net Property, Plant & Equipment","17,199.00","17,063.00","16,894.00","16,468.00","19,142.00","19,459.00","19,413.00","19,405.00","19,200.00","19,559.00"
"10","Accrued Payable","17,407.00","16,440.00","17,976.00","14,686.00","14,191.00","11,228.00","17,245.00","-","-","-"
"11","Short Term Debt","2,850.00","4,703.00","3,362.00","4,339.00","3,839.00","6,427.00","6,876.00","7,930.00","4,260.00","3,227.00"
"12","Long Term Debt","109.00","70.00","838.00","957.00","1,090.00","917.00","887.00","943.00","919.00","908.00"
"13","Net Operating Cash Flow","(4,815.00)","374.00","(115.00)","1,443.00","5,761.00","567.00","3,261.00","(2,372.00)","(53,770.00)","(86,903.00)"
"14","Capital Expenditures","(411.00)","(198.00)","(204.00)","(214.00)","(3,525.00)","(362.00)","(258.00)","(394.00)","(220.00)","(904.00)"
"15","Total Shares Outstanding (million)","107,000.00","107,000.00","107,000.00","107,000.00","107,000.00","107,000.00","107,000.00","107,002.50","117,702.50","117,702.50"
