"1","Financial Year","30-09-2019       1","31-12-2019       2","31-03-2020       Other","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4","30-06-2021       1","30-09-2021       2","31-12-2021       3"
"2","Sales/Revenue","1,168.00","3,225.00","2,945.00","2,927.00","2,522.00","3,401.00","809.00","2,542.00","897.00","3,444.00"
"3","Pretax Income","58.00","693.00","(4,063.00)","50.00","(564.00)","(54.00)","(738.00)","(433.00)","(284.00)","(46.00)"
"4","Net Income","62.00","553.00","(3,844.00)","20.00","(437.00)","(29.00)","(639.00)","(414.00)","(410.00)","44.00"
"5","Cash & Short-Term Investments","494.00","1,101.00","1,233.00","952.00","975.00","650.00","640.00","715.00","1,023.00","1,108.00"
"6","Cash Only","494.00","545.00","696.00","385.00","437.00","100.00","90.00","165.00","491.00","576.00"
"7","Total Accounts Receivables","1,016.00","4,826.00","3,550.00","3,266.00","3,369.00","4,952.00","3,515.00","4,059.00","5,626.00","5,216.00"
"8","Inventories","-","3,364.00","2,972.00","3,525.00","3,600.00","3,078.00","3,078.00","3,078.00","3,214.00","2,957.00"
"9","Net Property, Plant & Equipment","33,340.00","35,125.00","34,649.00","34,343.00","34,208.00","33,797.00","34,202.00","33,952.00","35,951.00","35,594.00"
"10","Short Term Debt","663.00","3,313.00","2,605.00","2,921.00","3,269.00","2,925.00","2,806.00","3,655.00","4,041.00","3,280.00"
"11","Long Term Debt","1,343.00","1,306.00","1,307.00","1,282.00","1,606.00","1,556.00","1,550.00","1,669.00","8,345.00","8,405.00"
"12","Net Operating Cash Flow","(611.00)","(1,033.00)","(436.00)","(83.00)","1,087.00","(1,378.00)","(278.00)","(757.00)","(1,298.00)","904.00"
"13","Capital Expenditures","-","-","(137.00)","(59.00)","(493.00)","252.00","-","(136.00)","136.00","(279.00)"
"14","Total Shares Outstanding (million)","184,866.79","184,866.79","184,866.79","184,867.00","184,867.00","184,867.00","184,867.00","184,867.00","221,840.14","221,840.14"
