"1","Financial Year","30-11-2018       1","28-02-2019       2","31-05-2019       3","31-08-2019       Other","31-12-2019       Other","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       Other","31-03-2021       1"
"2","Sales/Revenue","31,936.21","29,015.32","40,186.85","33,532.71","43,624.55","31,235.99","21,155.58","44,907.22","42,265.42","44,711.93"
"3","Pretax Income","(1,140.89)","(2,300.75)","252.60","(4,193.58)","(3,266.85)","(1,619.28)","314.79","2,332.95","(1,656.54)","4,647.30"
"4","Net Income","(1,311.23)","(2,283.35)","177.36","(3,883.18)","(2,523.93)","(1,624.25)","(27.17)","1,816.19","(2,623.41)","4,067.52"
"5","Cash & Short-Term Investments","10,488.53","7,447.99","7,934.61","6,513.26","8,048.24","6,282.29","8,894.66","8,334.02","27,190.51","25,227.82"
"6","Cash Only","4,693.84","3,788.65","4,246.28","2,800.57","4,293.68","2,503.41","5,085.25","4,501.58","23,323.72","21,336.58"
"7","Total Accounts Receivables","38,768.84","31,204.04","34,898.74","33,601.41","31,260.57","28,769.09","28,117.01","36,468.09","28,889.04","38,134.18"
"8","Inventories","40,700.35","44,409.86","44,220.21","45,444.20","42,743.40","41,294.13","42,618.99","45,030.19","44,743.76","44,821.79"
"9","Net Property, Plant & Equipment","95,165.44","95,952.34","96,423.07","96,358.75","94,996.42","93,890.85","93,509.27","92,025.07","91,744.77","86,609.47"
"10","Short Term Debt","41,824.08","45,254.50","48,045.39","47,301.10","45,222.25","44,429.51","46,211.72","44,245.76","48,512.75","44,033.51"
"11","Long Term Debt","14,751.75","14,703.94","14,807.07","14,826.79","14,942.55","14,732.82","14,571.61","14,354.42","9,804.14","9,151.53"
"12","Net Operating Cash Flow","(980.58)","(4,055.60)","(385.24)","681.54","4,076.42","(1,483.27)","2,257.96","1,772.68","6,880.60","(7,198.10)"
"13","Capital Expenditures","(669.84)","(2,574.88)","(2,115.22)","(1,644.69)","(2,608.77)","(548.08)","(1,322.99)","(178.46)","(826.50)","(979.99)"
"14","Total Shares Outstanding (million)","182,343.78","182,343.78","182,343.78","182,343.78","182,343.78","182,343.78","182,343.78","182,343.78","206,428.16","211,578.16"
