"1","Financial Year","30-09-2017       3","31-12-2017       Other","31-03-2018       Other","30-06-2018       Other","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       4","30-09-2019       1","31-12-2019       2"
"2","Sales/Revenue","31,513.00","20,244.00","12,637.00","64,960.12","20,704.34","13,321.00","10,113.00","1,688.84","5,279.00","6,015.00"
"3","Pretax Income","3,119.00","1,092.00","954.00","(2,716.95)","(107.33)","(4,764.00)","(5,247.00)","(18,600.40)","(4,527.00)","(5,039.00)"
"4","Net Income","3,120.00","1,094.00","955.00","660.42","(96.44)","(4,729.00)","(5,319.00)","(18,576.19)","(4,526.00)","(5,039.00)"
"5","Cash & Short-Term Investments","7,140.00","3,853.00","4,796.00","5,118.13","3,770.60","7,502.00","5,417.00","8,460.02","4,129.00","2,216.00"
"6","Cash Only","-","-","-","-","-","-","5,417.00","-","-","-"
"7","Total Accounts Receivables","56,036.00","41,349.00","45,185.00","53,300.38","54,104.57","47,207.00","39,727.00","26,043.58","28,081.00","30,676.00"
"8","Inventories","42,394.00","43,140.00","42,928.00","15,097.32","18,830.36","16,790.00","20,510.00","10,488.59","-","7,983.00"
"9","Net Property, Plant & Equipment","94,577.00","88,249.00","83,333.00","70,716.39","69,185.54","68,212.00","67,367.00","72,295.61","70,745.00","69,111.00"
"10","Accrued Payable","65,026.00","43,545.00","49,698.00","-","33,510.21","36,020.00","35,741.00","-","32,956.00","38,942.00"
"11","Short Term Debt","52,209.00","51,275.00","48,334.00","52,341.90","49,903.34","47,496.00","46,582.00","44,545.78","36,965.00","37,026.00"
"12","Long Term Debt","34,018.00","31,860.00","28,390.00","24,943.34","23,432.05","22,124.00","21,977.00","19,656.83","17,633.00","16,559.00"
"13","Net Operating Cash Flow","33,025.00","(5,462.00)","5,237.00","(1,451.44)","2,847.96","8,183.04","(396.00)","5,265.08","(2,300.00)","50.00"
"14","Capital Expenditures","(608.00)","-","(215.00)","(24.42)","(266.40)","(524.60)","(569.00)","(421.47)","(55.00)","-"
"15","Total Shares Outstanding (million)","110,517.50","110,517.50","110,517.50","110,517.50","110,517.50","110,517.50","110,517.50","121,569.25","-","121,569.25"
