"1","Financial Year","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       Other","30-09-2019       Other","31-12-2019       Other","31-03-2020       1","30-06-2020       2"
"2","Sales/Revenue","8,765.00","11,757.00","8,232.00","8,410.00","3,911.00","9,981.00","2,920.00","12,683.00","7,763.00","602.00"
"3","Pretax Income","112.00","849.00","52.00","112.00","46.00","(3,023.00)","(2,984.00)","(25,853.00)","1,352.00","(1,278.00)"
"4","Net Income","112.00","1,093.00","52.00","112.00","46.00","(3,023.00)","(2,984.00)","(27,160.00)","1,352.00","(1,278.00)"
"5","Cash & Short-Term Investments","585.00","585.56","307.00","840.00","3,295.00","341.00","900.00","1,473.00","2,078.00","2,460.00"
"6","Cash Only","585.00","585.56","307.00","840.00","3,295.00","341.00","900.00","1,473.00","2,020.00","2,402.00"
"7","Total Accounts Receivables","50,251.00","53,470.42","55,387.00","58,626.00","64,256.00","69,402.00","68,746.00","48,401.00","25,259.00","25,029.00"
"8","Inventories","9,414.00","30,631.10","40,051.00","41,067.00","49,357.00","51,532.00","53,187.00","33,709.00","53,775.00","55,368.00"
"9","Net Property, Plant & Equipment","64,994.00","47,771.92","47,146.00","46,211.00","38,871.00","38,230.00","37,625.00","52,511.00","53,040.00","52,547.00"
"10","Accrued Payable","3,964.00","4,791.35","9,557.00","9,537.00","9,725.00","11,238.00","9,300.00","10,024.00","8,251.00","9,806.00"
"11","Short Term Debt","1,758.00","954.46","2,541.00","1,639.00","1,266.00","1,409.00","1,150.00","191.00","229.00","68.00"
"12","Long Term Debt","5,560.00","5,297.67","5,091.00","4,955.00","4,873.00","4,663.00","4,430.00","5,267.00","10,201.00","10,170.00"
"13","Net Operating Cash Flow","4,910.00","(5,827.84)","(4,532.00)","(2,858.00)","(8,545.00)","(2,887.00)","(8,369.00)","6,056.00","(17,295.00)","946.00"
"14","Capital Expenditures","-","(515.93)","-","-","-","-","-","(15,595.00)","-","-"
"15","Total Shares Outstanding (million)","431,426.72","442,001.62","442,001.62","458,366.72","479,666.72","479,666.72","501,166.72","501,166.72","531,666.72","531,666.72"
