"1","Financial Year","30-06-2009","30-06-2010","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018"
"2","Sales/Revenue","158,420.00","138,363.00","116,117.00","96,765.00","120,848.00","178,743.00","273,490.00","196,768.00","205,291.00","225,997.00"
"3","Pretax Income","26,718.00","20,472.00","11,050.00","9,186.00","8,789.00","25,487.00","46,942.00","61,987.00","25,284.00","12,938.00"
"4","Net Income","19,895.00","15,028.00","6,697.00","5,332.00","4,579.00","19,226.00","33,596.00","47,793.00","20,394.00","6,686.00"
"5","Cash & Short-Term Investments","22,466.00","26,188.00","33,701.00","43,796.00","47,649.00","33,674.00","47,174.00","93,317.00","30,469.00","34,430.00"
"6","Cash Only","9,801.00","17,693.00","21,042.00","15,715.00","19,623.00","15,095.00","22,583.00","35,942.00","12,105.00","14,609.00"
"7","Total Accounts Receivables","56,958.00","67,641.00","52,240.00","50,046.00","59,436.00","81,657.00","102,583.00","97,393.00","118,966.00","146,036.00"
"8","Inventories","9,603.00","8,511.00","10,258.00","11,582.00","14,199.00","16,726.00","17,588.00","17,039.00","10,014.00","9,625.00"
"9","Net Property, Plant & Equipment","22,811.00","27,882.00","40,102.00","62,658.00","7,356.00","46,496.00","49,312.00","36,330.00","86,555.00","86,888.00"
"10","Accrued Payable","-","-","-","-","17,952.00","34,982.00","34,663.00","24,312.00","7,649.00","6,005.00"
"11","Short Term Debt","1,202.00","1,005.00","1,244.00","2,395.00","2,588.00","2,942.00","3,343.00","3,670.00","4,910.00","6,325.00"
"12","Long Term Debt","3,397.00","2,909.00","9,887.00","19,519.00","18,912.00","17,583.00","20,647.00","21,171.00","55,650.00","49,616.00"
"13","Net Operating Cash Flow","4,894.00","16,050.00","10,615.00","16,905.00","9,951.00","5,340.00","22,399.00","23,450.00","(1,623.00)","16,976.00"
"14","Capital Expenditures","(6,870.00)","(5,600.00)","(7,347.00)","(16,670.00)","(1,758.00)","(1,579.00)","(4,260.00)","(1,823.00)","(23,200.00)","(3,258.00)"
"15","Total Shares Outstanding (million)","240,000.00","240,000.00","240,000.00","240,000.00","237,890.00","237,888.00","239,904.00","235,938.85","229,096.85","226,187.90"
