"1","Financial Year","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       Other","31-03-2019       Other","30-06-2019       Other","30-09-2019       1","31-12-2019       2"
"2","Sales/Revenue","102,785.00","78,679.00","19,381.00","59,164.00","94,456.00","70,252.00","50,431.00","61,853.00","56,251.00","66,381.00"
"3","Pretax Income","(56,661.00)","(75,057.00)","(19,812.00)","(15,346.00)","(5,098.00)","(10,840.00)","(41,469.00)","(267,894.00)","(5,367.00)","10,202.00"
"4","Net Income","(56,160.00)","(73,833.00)","(19,927.00)","(15,482.00)","(5,076.00)","(21,096.00)","(41,926.00)","(269,358.00)","(5,776.00)","10,842.00"
"5","Cash & Short-Term Investments","141,379.00","132,050.00","109,902.00","107,523.00","94,973.00","135,828.00","96,680.00","88,387.00","74,179.00","101,890.00"
"6","Cash Only","23,248.00","29,205.00","15,137.00","18,526.00","15,395.00","44,973.00","22,509.00","29,816.00","16,329.00","47,492.00"
"7","Total Accounts Receivables","158,838.00","116,798.00","89,088.00","105,869.00","120,157.00","54,633.00","62,898.00","68,786.00","75,485.00","51,913.00"
"8","Inventories","9,561.00","5,154.00","5,540.00","4,801.00","4,655.00","4,656.00","2,499.00","5,611.00","5,611.00","5,427.00"
"9","Net Property, Plant & Equipment","361,418.00","297,447.00","279,083.00","282,631.00","281,755.00","276,382.00","268,306.00","107,149.00","96,644.00","94,717.00"
"10","Accrued Payable","7,887.00","2,970.00","3,911.00","4,414.00","4,044.00","3,334.00","4,599.00","4,977.00","5,070.00","3,345.00"
"11","Short Term Debt","104,770.00","54,190.00","45,792.00","48,242.00","46,029.00","20,526.00","20,825.00","33,926.00","31,161.00","185,506.00"
"12","Long Term Debt","159,895.00","171,205.00","162,959.00","170,363.00","174,649.00","172,022.00","169,632.00","152,190.00","155,590.00","-"
"13","Net Operating Cash Flow","(63,550.00)","23,398.00","(13,253.00)","(18,210.00)","(30,982.00)","49,742.00","(38,089.00)","1,277.00","(12,393.00)","32,618.00"
"14","Capital Expenditures","(441.00)","(188.00)","(175.00)","(179.00)","(255.00)","(607.00)","(170.00)","(5.00)","-","-"
"15","Total Shares Outstanding (million)","825,639.00","826,405.00","826,405.00","826,405.00","826,405.00","835,786.39","835,786.39","835,786.39","835,786.00","835,786.00"
