"1","Financial Year","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       Other"
"2","Sales/Revenue","15,072.00","17,407.21","21,808.00","14,413.00","11,619.00","15,182.00","10,896.00","15,420.00","18,629.00","23,362.00"
"3","Pretax Income","(3,226.00)","1,425.05","(3,057.00)","(2,803.00)","(2,920.00)","(1,336.00)","107.00","164.00","3,523.00","2,595.00"
"4","Net Income","(714.00)","(6,054.06)","(2,820.00)","(2,487.00)","(2,710.00)","128.00","411.00","437.00","3,085.00","1,853.00"
"5","Cash & Short-Term Investments","1,550.00","6,175.32","3,194.00","5,496.00","7,424.00","11,285.00","4,417.00","3,665.00","4,523.00","8,059.00"
"6","Cash Only","1,550.00","6,175.32","3,194.00","5,496.00","7,424.00","11,285.00","4,417.00","3,665.00","4,523.00","8,059.00"
"7","Total Accounts Receivables","89,456.00","28,850.45","27,365.00","20,846.00","22,152.00","10,602.00","12,016.00","12,044.00","11,831.00","11,158.00"
"8","Inventories","17,951.00","16,547.60","17,850.00","17,098.00","16,884.00","12,473.00","13,412.00","10,215.00","12,174.00","8,921.00"
"9","Net Property, Plant & Equipment","85,521.00","78,196.14","75,154.00","70,476.00","68,202.00","67,172.00","66,809.00","65,646.00","64,996.00","66,506.00"
"10","Short Term Debt","41,361.00","52,049.62","57,642.00","57,750.00","51,337.00","50,912.00","54,442.00","33,293.00","30,594.00","29,443.00"
"11","Long Term Debt","59,545.00","40,679.59","30,820.00","30,636.00","34,799.00","30,486.00","20,454.00","41,535.00","42,502.00","41,958.00"
"12","Net Operating Cash Flow","(1,079.00)","(9,935.06)","1,099.00","789.00","(1,286.00)","2,508.00","(2,890.00)","(2,108.00)","1,143.00","6,804.00"
"13","Capital Expenditures","-","(51.30)","-","(76.00)","(249.00)","(384.00)","(62.00)","(51.00)","(563.00)","299.00"
"14","Total Shares Outstanding (million)","311,362.27","311,362.27","311,362.27","311,362.27","334,982.86","377,528.05","390,861.38","395,944.71","403,361.38","403,402.00"
