"1","Financial Year","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       Other","30-09-2019       Other","31-12-2019       Other"
"2","Sales/Revenue","32.00","213.00","418.00","597.00","32.00","32.00","32.00","32.00","32.00","32.00"
"3","Pretax Income","(88.00)","(148.00)","(295.00)","(135.00)","(113.00)","17.00","(263.00)","(35.00)","(110.00)","(45.00)"
"4","Net Income","(93.00)","(151.00)","(297.00)","(139.00)","(118.00)","12.00","(267.00)","(39.00)","(115.00)","(53.00)"
"5","Cash & Short-Term Investments","424.00","320.00","220.00","425.00","220.00","5,997.00","492.00","438.00","365.00","455.00"
"6","Cash Only","138.00","34.00","55.00","253.00","78.00","5,720.00","304.00","317.00","225.00","113.00"
"7","Total Accounts Receivables","11,109.00","11,301.00","11,273.00","11,774.00","11,806.00","11,838.00","11,849.00","11,776.00","11,777.00","10,545.00"
"8","Net Property, Plant & Equipment","24.00","23.00","24.00","21.00","15.00","14.00","14.00","14.00","14.00","7.00"
"9","Accrued Payable","5,601.00","5,836.00","6,004.00","6,813.00","6,747.00","12,538.00","7,607.00","7,515.00","7,553.00","6,355.00"
"10","Short Term Debt","-","-","-","-","-","-","-","-","-","-"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","104.00","(104.00)","21.00","198.00","(175.00)","5,642.00","(5,116.00)","13.00","(79.00)","(192.00)"
"13","Capital Expenditures","-","-","-","-","-","-","-","-","-","-"
"14","Total Shares Outstanding (million)","140,224.30","140,224.30","140,224.30","140,224.30","140,224.30","140,224.30","140,224.30","140,224.30","140,224.30","140,224.30"
