"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       Other","30-06-2021       Other","30-09-2021       1"
"2","Sales/Revenue","9,618.00","8,759.00","19,197.00","16,903.00","5,976.00","12,517.00","17,816.00","6,722.00","29,892.00","10,039.00"
"3","Pretax Income","195.00","1,457.00","4,486.00","1,063.00","124.00","723.00","(54.00)","21.00","1,389.00","223.00"
"4","Net Income","138.00","674.00","4,812.00","541.00","113.00","241.00","(454.00)","(194.00)","677.00","44.00"
"5","Cash & Short-Term Investments","6,965.00","5,046.00","6,587.00","5,676.00","6,447.00","5,287.00","5,527.00","4,500.00","6,023.00","12,375.00"
"6","Total Accounts Receivables","251,206.00","249,975.00","168,148.00","274,822.00","171,210.00","159,211.00","177,341.00","185,044.00","179,833.00","186,273.00"
"7","Inventories","80,602.00","80,625.00","152,147.00","88,435.00","99,838.00","99,826.00","100,101.00","100,101.00","81,859.00","181,085.00"
"8","Net Property, Plant & Equipment","44,040.00","46,212.00","46,341.00","56,872.00","56,436.00","55,420.00","54,347.00","53,368.00","51,948.00","31,104.00"
"9","Accrued Payable","-","-","-","100,892.00","99,548.00","87,631.00","97,548.00","97,847.00","83,379.00","53,230.00"
"10","Short Term Debt","6,146.00","5,228.00","6,921.00","8,986.00","8,541.00","8,114.00","7,563.00","7,403.00","4,091.00","4,586.00"
"11","Long Term Debt","45,001.00","45,354.00","40,701.00","48,203.00","48,399.00","46,737.00","46,638.00","47,147.00","46,758.00","34,349.00"
"12","Net Operating Cash Flow","1,075.00","1,896.00","3,123.00","1,042.00","1,585.00","203.00","677.00","7,402.00","12,674.00","2,030.00"
"13","Capital Expenditures","(2.00)","(3,035.00)","(746.00)","(523.00)","(132.00)","(687.00)","(253.00)","(1,595.00)","(1,518.00)","(253.00)"
"14","Total Shares Outstanding (million)","416,325.00","416,325.00","416,325.00","416,325.00","416,325.00","416,325.00","416,325.00","416,324.43","416,325.00","416,325.00"
